2.5360000000e+00 9.6659649021e-01 1.4168756952e-02
2.9890000000e+00 1.3569146021e+00 2.3243338199e-02
3.3750000000e+00 1.7478805469e+00 3.3526725248e-02
3.7150000000e+00 2.1394921849e+00 4.4802390578e-02
4.0210000000e+00 2.5317473937e+00 5.6922508598e-02
4.3000000000e+00 2.9246440685e+00 6.9750384299e-02
4.5570000000e+00 3.3181801214e+00 8.3183954184e-02
4.7970000000e+00 3.7123534817e+00 9.7222574476e-02
5.0200000000e+00 4.1071620950e+00 1.1164315511e-01
5.2310000000e+00 4.5026039238e+00 1.2656974157e-01
5.4290000000e+00 4.8986769465e+00 1.4177388662e-01
5.6180000000e+00 5.2953791577e+00 1.5741035828e-01
5.7970000000e+00 5.6927085679e+00 1.7328144376e-01
5.9670000000e+00 6.0906632033e+00 1.8935063205e-01
6.1300000000e+00 6.4892411053e+00 2.0569834396e-01
6.2850000000e+00 6.8884403308e+00 2.2213728534e-01
6.4350000000e+00 7.2882589518e+00 2.3888878103e-01
6.5780000000e+00 7.6886950549e+00 2.5567148555e-01
6.7150000000e+00 8.0897467418e+00 2.7251577695e-01
6.8480000000e+00 8.4914121284e+00 2.8959260005e-01
6.9760000000e+00 8.8936893452e+00 3.0673133695e-01
7.0990000000e+00 9.2965765366e+00 3.2387345636e-01
7.2180000000e+00 9.7000718612e+00 3.4109564974e-01
7.3330000000e+00 1.0104173491e+01 3.5835293263e-01
7.4440000000e+00 1.0508879613e+01 3.7560036713e-01
7.5520000000e+00 1.0914188427e+01 3.9294101760e-01
7.6560000000e+00 1.1320098144e+01 4.1019083221e-01
7.7570000000e+00 1.1726606991e+01 4.2746150778e-01
7.8550000000e+00 1.2133713208e+01 4.4472115868e-01
7.9510000000e+00 1.2541415047e+01 4.6210187602e-01
8.0430000000e+00 1.2949710771e+01 4.7924826473e-01
8.1330000000e+00 1.3358598659e+01 4.9646043460e-01
8.2200000000e+00 1.3768077001e+01 5.1354338536e-01
8.3050000000e+00 1.4178144097e+01 5.3064510011e-01
8.3870000000e+00 1.4588798263e+01 5.4756357161e-01
8.4680000000e+00 1.5000037825e+01 5.6464035254e-01
8.5460000000e+00 1.5411861121e+01 5.8148787954e-01
8.6220000000e+00 1.5824266501e+01 5.9826929906e-01
8.6960000000e+00 1.6237252325e+01 6.1496557823e-01
8.7690000000e+00 1.6650816968e+01 6.3175715377e-01
8.8390000000e+00 1.7064958814e+01 6.4823002287e-01
8.9080000000e+00 1.7479676257e+01 6.6476745522e-01
8.9750000000e+00 1.7894967705e+01 6.8115182280e-01
9.0400000000e+00 1.8310831576e+01 6.9736505003e-01
9.1040000000e+00 1.8727266297e+01 7.1360415428e-01
9.1660000000e+00 1.9144270308e+01 7.2964269215e-01
9.2270000000e+00 1.9561842059e+01 7.4568394672e-01
9.2860000000e+00 1.9979980011e+01 7.6149587311e-01
9.3440000000e+00 2.0398682633e+01 7.7728786271e-01
9.4010000000e+00 2.0817948407e+01 7.9305156955e-01
9.4560000000e+00 2.1237775824e+01 8.0854691744e-01
9.5110000000e+00 2.1658163386e+01 8.2422652866e-01
9.5630000000e+00 2.2079109604e+01 8.3937902872e-01
9.6150000000e+00 2.2500612998e+01 8.5469971871e-01
9.6660000000e+00 2.2922672100e+01 8.6994623462e-01
9.7150000000e+00 2.3345285450e+01 8.8486608160e-01
9.7630000000e+00 2.3768451599e+01 8.9969124221e-01
9.8110000000e+00 2.4192169105e+01 9.1466361472e-01
9.8570000000e+00 2.4616436537e+01 9.2927915763e-01
9.9020000000e+00 2.5041252474e+01 9.4377757028e-01
9.9470000000e+00 2.5466615503e+01 9.5840800389e-01
9.9900000000e+00 2.5892524219e+01 9.7265267254e-01
1.0033000000e+01 2.6318977230e+01 9.8701954416e-01
1.0074000000e+01 2.6745973147e+01 1.0009820673e+00
1.0115000000e+01 2.7173510595e+01 1.0150572519e+00
1.0155000000e+01 2.7601588205e+01 1.0289773797e+00
1.0194000000e+01 2.8030204617e+01 1.0427357238e+00
1.0232000000e+01 2.8459358481e+01 1.0563256778e+00
1.0269000000e+01 2.8889048452e+01 1.0697407578e+00
1.0306000000e+01 2.9319273198e+01 1.0832498773e+00
1.0342000000e+01 2.9750031390e+01 1.0965753459e+00
1.0377000000e+01 3.0181321713e+01 1.1097109328e+00
1.0412000000e+01 3.0613142856e+01 1.1229314943e+00
1.0445000000e+01 3.1045493516e+01 1.1356709435e+00
1.0479000000e+01 3.1478372400e+01 1.1487716918e+00
1.0511000000e+01 3.1911778223e+01 1.1613795322e+00
1.0543000000e+01 3.2345709705e+01 1.1740596365e+00
1.0574000000e+01 3.2780165577e+01 1.1865217330e+00
1.0605000000e+01 3.3215144576e+01 1.1990517405e+00
1.0635000000e+01 3.3650645445e+01 1.2113560420e+00
1.0664000000e+01 3.4086666938e+01 1.2234292351e+00
1.0693000000e+01 3.4523207815e+01 1.2355623868e+00
1.0721000000e+01 3.4960266842e+01 1.2474571256e+00
1.0749000000e+01 3.5397842793e+01 1.2594077818e+00
1.0776000000e+01 3.5835934450e+01 1.2711129280e+00
1.0803000000e+01 3.6274540603e+01 1.2828700611e+00
1.0829000000e+01 3.6713660045e+01 1.2943747990e+00
1.0854000000e+01 3.7153291582e+01 1.3056223421e+00
1.0879000000e+01 3.7593434021e+01 1.3169147749e+00
1.0904000000e+01 3.8034086181e+01 1.3282516887e+00
1.0928000000e+01 3.8475246884e+01 1.3393231267e+00
1.0952000000e+01 3.8916914960e+01 1.3504354685e+00
1.0975000000e+01 3.9359089247e+01 1.3612761031e+00
