 0.7499997E-01  0.2879077E+03  0.2380495E-05  0.1473523E+04
 0.7599998E-01  0.2879066E+03  0.2476342E-05  0.1473520E+04
 0.7699998E-01  0.2879056E+03  0.2574728E-05  0.1473517E+04
 0.7799998E-01  0.2879045E+03  0.2675686E-05  0.1473514E+04
 0.7899998E-01  0.2879033E+03  0.2779248E-05  0.1473510E+04
 0.7999998E-01  0.2879022E+03  0.2885449E-05  0.1473507E+04
 0.8099999E-01  0.2879011E+03  0.2994322E-05  0.1473503E+04
 0.8199999E-01  0.2878999E+03  0.3105899E-05  0.1473500E+04
 0.8299999E-01  0.2878987E+03  0.3220213E-05  0.1473496E+04
 0.8399999E-01  0.2878976E+03  0.3337299E-05  0.1473493E+04
 0.8499999E-01  0.2878963E+03  0.3457188E-05  0.1473489E+04
 0.8600000E-01  0.2878951E+03  0.3579915E-05  0.1473486E+04
 0.8700000E-01  0.2878939E+03  0.3705512E-05  0.1473482E+04
 0.8800000E-01  0.2878926E+03  0.3834013E-05  0.1473478E+04
 0.8900000E-01  0.2878914E+03  0.3965451E-05  0.1473474E+04
 0.9000000E-01  0.2878901E+03  0.4099858E-05  0.1473471E+04
 0.9100001E-01  0.2878888E+03  0.4237269E-05  0.1473467E+04
 0.9200001E-01  0.2878875E+03  0.4377715E-05  0.1473463E+04
 0.9300001E-01  0.2878862E+03  0.4521231E-05  0.1473459E+04
 0.9400001E-01  0.2878848E+03  0.4667850E-05  0.1473455E+04
 0.9500001E-01  0.2878835E+03  0.4817604E-05  0.1473451E+04
 0.9600002E-01  0.2878821E+03  0.4970528E-05  0.1473447E+04
 0.9700002E-01  0.2878807E+03  0.5126653E-05  0.1473442E+04
 0.9800002E-01  0.2878793E+03  0.5286014E-05  0.1473438E+04
 0.9900002E-01  0.2878779E+03  0.5448643E-05  0.1473434E+04
 0.1000000E+00  0.2878765E+03  0.5614573E-05  0.1473430E+04
 0.1010000E+00  0.2878751E+03  0.5783838E-05  0.1473425E+04
 0.1020000E+00  0.2878736E+03  0.5956471E-05  0.1473421E+04
 0.1030000E+00  0.2878722E+03  0.6132505E-05  0.1473417E+04
 0.1040000E+00  0.2878707E+03  0.6311974E-05  0.1473412E+04
 0.1050000E+00  0.2878692E+03  0.6494909E-05  0.1473408E+04
 0.1060000E+00  0.2878677E+03  0.6681346E-05  0.1473403E+04
 0.1070000E+00  0.2878662E+03  0.6871316E-05  0.1473399E+04
 0.1080000E+00  0.2878646E+03  0.7064853E-05  0.1473394E+04
 0.1090000E+00  0.2878631E+03  0.7261989E-05  0.1473389E+04
 0.1100000E+00  0.2878615E+03  0.7462759E-05  0.1473385E+04
 0.1110000E+00  0.2878599E+03  0.7667196E-05  0.1473380E+04
 0.1120000E+00  0.2878583E+03  0.7875332E-05  0.1473375E+04
 0.1130001E+00  0.2878567E+03  0.8087201E-05  0.1473370E+04
 0.1140001E+00  0.2878551E+03  0.8302834E-05  0.1473365E+04
 0.1150001E+00  0.2878534E+03  0.8522267E-05  0.1473360E+04
 0.1160001E+00  0.2878518E+03  0.8745533E-05  0.1473356E+04
 0.1170001E+00  0.2878501E+03  0.8972663E-05  0.1473351E+04
 0.1180001E+00  0.2878484E+03  0.9203692E-05  0.1473345E+04
 0.1190001E+00  0.2878467E+03  0.9438652E-05  0.1473340E+04
 0.1200001E+00  0.2878450E+03  0.9677578E-05  0.1473335E+04
 0.1210001E+00  0.2878433E+03  0.9920500E-05  0.1473330E+04
 0.1220001E+00  0.2878415E+03  0.1016745E-04  0.1473325E+04
 0.1230001E+00  0.2878398E+03  0.1041847E-04  0.1473320E+04
